iter	Logloss
0	0.6045962219
1	0.5482539702
2	0.5029781786
3	0.465419465
4	0.4361766667
5	0.4042836445
6	0.383358696
7	0.3644697505
8	0.3499644773
9	0.3352614327
10	0.3183421816
11	0.3066295164
12	0.2960880958
13	0.2891091189
14	0.2814957944
15	0.2755546024
16	0.2678261973
17	0.2608285136
18	0.2507270548
19	0.2443550281
20	0.2399414
21	0.2357598365
22	0.2305610048
23	0.2265093595
24	0.2204520883
25	0.2160501617
26	0.2127474763
27	0.2071642261
28	0.2035897378
29	0.1993909028
30	0.1959206205
31	0.1936098188
32	0.1909804081
33	0.1869672842
34	0.1838613873
35	0.1811661984
36	0.1778348365
37	0.1753728824
38	0.1728983374
39	0.1704098286
40	0.1675229063
41	0.164976826
42	0.1625435484
43	0.1589890619
44	0.1576890068
45	0.1552965129
46	0.1535793375
47	0.1511097539
48	0.1493230714
49	0.1458741951
