iter	Passed	Remaining
0	17	855
1	29	709
2	40	640
3	53	614
4	64	581
5	83	615
6	95	589
7	107	564
8	118	541
9	130	521
10	142	506
11	154	488
12	166	473
13	178	457
14	189	442
15	201	427
16	218	424
17	230	410
18	242	396
19	254	381
20	265	366
21	276	352
22	288	338
23	299	324
24	311	311
25	322	297
26	334	285
27	348	273
28	366	265
29	377	251
30	389	238
31	405	228
32	420	216
33	437	206
34	452	193
35	467	181
36	482	169
37	503	158
38	518	146
39	532	133
40	543	119
41	554	105
42	566	92
43	577	78
44	588	65
45	601	52
46	612	39
47	627	26
48	645	13
49	656	0
