iter	Passed	Remaining
0	181	181425
1	211	105601
2	247	82259
3	267	66660
4	286	56920
5	305	50689
6	329	46671
7	348	43257
8	367	40508
9	386	38305
10	406	36511
11	435	35834
12	452	34370
13	471	33204
14	490	32232
15	509	31364
16	528	30570
17	550	30040
18	567	29316
19	585	28694
20	603	28137
21	621	27632
22	638	27115
23	655	26660
24	672	26234
25	689	25838
26	709	25563
27	728	25275
28	746	24990
29	769	24866
30	785	24566
31	803	24301
32	819	24002
33	833	23690
34	851	23471
35	868	23263
36	885	23050
37	903	22861
38	919	22663
39	936	22481
40	954	22321
41	970	22143
42	995	22163
43	1028	22352
44	1061	22526
45	1088	22566
46	1109	22494
47	1128	22379
48	1146	22254
49	1163	22113
50	1181	21990
51	1199	21873
52	1217	21752
53	1233	21617
54	1250	21493
55	1268	21384
56	1285	21268
57	1303	21165
58	1320	21060
59	1336	20937
60	1351	20811
61	1368	20701
62	1385	20602
63	1401	20489
64	1416	20372
65	1434	20293
66	1451	20207
67	1467	20114
68	1483	20017
69	1502	19957
70	1520	19891
71	1538	19835
72	1556	19769
73	1575	19713
74	1594	19662
75	1612	19601
76	1631	19551
77	1649	19495
78	1667	19435
79	1684	19366
80	1702	19314
81	1721	19267
82	1737	19191
83	1755	19139
84	1772	19085
85	1790	19026
86	1809	18985
87	1827	18941
88	1846	18899
89	1864	18856
90	1884	18821
91	1901	18767
92	1919	18722
93	1937	18674
94	1954	18618
95	1970	18555
96	1986	18496
97	2004	18450
98	2025	18435
99	2043	18395
100	2059	18330
101	2077	18291
102	2095	18245
103	2116	18230
104	2133	18185
105	2152	18153
106	2169	18105
107	2185	18049
108	2201	17994
109	2218	17946
110	2239	17932
111	2257	17897
112	2281	17905
113	2303	17905
114	2324	17886
115	2343	17859
116	2360	17813
117	2378	17775
118	2394	17724
119	2411	17682
120	2429	17645
121	2444	17595
122	2461	17549
123	2477	17504
124	2493	17453
125	2508	17401
126	2525	17358
127	2542	17319
128	2559	17278
129	2575	17237
130	2591	17188
131	2607	17144
